Name, finalTime, numberOfAttempts
Group2, 20428.3327, 1
Total, 20428.3327, 1
Name, finalTime, numberOfAttempts
Group2, 8249.5753, 2
Total, 8249.5753, 2
Name, finalTime, numberOfAttempts
Group2, 5776.3857, 1
Total, 5776.3857, 1
Name, finalTime, numberOfAttempts
Group2, 5687.9242, 1
Total, 5687.9242, 1
