Name, finalTime, numberOfAttempts
Sphere19, 1517.5987, 2
Sphere16, 1461.1899, 1
Sphere13, 1362.0934, 1
Sphere15, 1550.0734, 1
Sphere11, 1150.291, 1
Sphere12, 3649.8541, 2
Sphere7, 1698.9325, 1
Sphere18, 1412.6839, 1
Sphere10, 2124.4284, 1
Sphere8, 1712.4297, 1
Sphere3, 1862.0266, 1
Sphere9, 1562.2947, 1
Sphere1, 1899.2191, 1
Sphere2, 1412.1476, 1
Sphere4, 1374.6518, 1
Sphere6, 1811.4199, 1
Sphere17, 1524.474, 1
Sphere20, 1337.3145, 1
Sphere14, 1613.1543, 1
Sphere5, 1261.839, 1
Sphere17, 1361.802, 1
Sphere2, 1348.829, 1
Sphere4, 1073.9265, 1
Sphere11, 1311.9769, 1
Sphere18, 1311.5296, 1
Sphere1, 1486.3662, 1
Sphere13, 1924.1972, 1
Sphere14, 1650.2004, 1
Sphere7, 2299.2552, 1
Sphere15, 2300.1955, 1
Sphere12, 1424.3822, 1
Sphere9, 1986.6456, 1
Sphere6, 1675.0174, 1
Sphere10, 1861.4725, 1
Sphere19, 1599.3607, 1
Sphere8, 1637.7775, 1
Sphere3, 1924.493, 1
Sphere20, 1687.4906, 1
Sphere16, 1774.233, 1
Sphere5, 1861.4752, 1
Sphere18, 1036.7617, 1
Sphere13, 1199.8509, 1
Sphere9, 1461.5938, 1
Sphere1, 1599.3809, 1
Sphere7, 1624.4883, 1
Sphere15, 1599.4379, 1
Sphere16, 1199.1434, 1
Sphere10, 1774.4879, 1
Sphere14, 2450.0408, 1
Sphere2, 1799.6093, 1
Total, 82570.3136, 52
