Name, finalTime, numberOfAttempts
Sphere19, 936.3121, 1
Sphere16, 1775.3664, 1
Sphere13, 1136.9305, 1
Sphere15, 1249.5028, 1
Sphere11, 1338.895, 1
Sphere12, 1210.4687, 1
Sphere7, 1712.0557, 1
Sphere18, 1661.5509, 1
Sphere10, 2887.2148, 2
Sphere8, 1650.1553, 1
Sphere3, 1662.3047, 1
Sphere9, 1762.3315, 1
Sphere1, 1486.0186, 1
Sphere2, 1537.6282, 1
Sphere4, 1399.6515, 1
Sphere6, 1462.1987, 1
Sphere17, 1574.5265, 1
Sphere20, 1512.3766, 1
Sphere14, 1400.2317, 1
Sphere5, 1637.8851, 1
Sphere17, 1775.0545, 1
Sphere2, 1524.1511, 1
Sphere4, 1224.4875, 1
Sphere11, 2725.1973, 2
Sphere18, 2410.4743, 1
Sphere1, 1437.5573, 1
Sphere13, 1412.8112, 1
Sphere14, 1924.36, 1
Sphere7, 1561.7099, 1
Sphere15, 1111.2111, 1
Sphere12, 1762.0615, 1
Sphere9, 2049.4305, 1
Sphere6, 1673.948, 1
Sphere10, 1198.9714, 1
Sphere19, 1400.2174, 1
Sphere8, 1461.3436, 1
Sphere3, 1249.6979, 1
Sphere20, 1787.4072, 1
Sphere16, 1636.3667, 1
Sphere5, 1324.3546, 1
Sphere18, 3110.8903, 2
Sphere13, 1649.5163, 1
Sphere9, 1661.5253, 1
Sphere1, 1174.1176, 1
Sphere7, 1336.4891, 1
Sphere15, 1798.8218, 1
Sphere16, 1886.6877, 1
Sphere10, 1449.57, 1
Sphere14, 1599.5699, 1
Sphere2, 2761.5835, 1
Total, 82101.1059, 53
Name, finalTime, numberOfAttempts
