Name, finalTime, numberOfAttempts
Sphere18, 3186.8405, 1
Sphere3, 1650.1416, 1
Sphere15, 9824.7337, 1
Sphere8, 1549.5012, 1
Sphere7, 2687.4253, 1
Sphere4, 999.583, 1
Sphere2, 937.5173, 1
Sphere9, 1087.1515, 1
Sphere12, 1124.3847, 1
Sphere10, 936.5191, 1
Sphere11, 1837.0379, 2
Sphere1, 1412.8416, 1
Sphere20, 899.8317, 1
Sphere5, 975.1962, 1
Sphere6, 874.6611, 1
Sphere16, 3498.8473, 2
Sphere17, 986.9287, 1
Sphere13, 2696.9205, 3
Sphere19, 11199.2994, 2
Sphere14, 949.1384, 1
Sphere12, 3149.7476, 1
Sphere2, 712.1392, 1
Sphere18, 962.457, 1
Sphere11, 1536.9901, 1
Sphere16, 2599.6739, 1
Sphere15, 2948.0176, 1
Sphere7, 799.5116, 1
Sphere10, 2174.7368, 1
Sphere8, 2174.3905, 1
Sphere6, 3562.1478, 1
Sphere14, 1674.8261, 1
Sphere20, 2561.8905, 1
Sphere4, 1261.9164, 1
Sphere3, 2198.9403, 2
Sphere13, 937.2539, 1
Sphere9, 2537.2576, 1
Sphere5, 2236.7917, 1
Sphere17, 1024.9215, 1
Sphere19, 3125.0309, 1
Sphere1, 2987.1131, 1
Sphere2, 861.8355, 1
Sphere10, 786.7414, 1
Sphere14, 3749.8815, 1
Sphere7, 950.1806, 1
Sphere15, 972.9865, 1
Sphere4, 1199.3276, 1
Sphere18, 1413.2523, 1
Sphere1, 1448.5621, 1
Sphere12, 911.571, 1
Sphere16, 3199.4331, 2
Total, 106001.9887, 57
