Name, finalTime, numberOfAttempts
Sphere12, 4299.192, 2
Sphere10, 937.1107, 1
Sphere16, 6712.8259, 4
Sphere4, 2500.1217, 1
Sphere7, 912.0661, 1
Sphere17, 1711.2604, 1
Sphere13, 1361.8689, 1
Sphere1, 911.8776, 1
Sphere19, 1273.5669, 2
Sphere18, 2099.6878, 1
Sphere14, 1161.8757, 1
Sphere3, 1548.28, 1
Sphere5, 2313.1067, 1
Sphere20, 2586.6885, 2
Sphere6, 1424.5671, 1
Sphere11, 1273.9709, 1
Sphere9, 1400.1334, 1
Sphere8, 1124.7848, 1
Sphere2, 2911.4034, 1
Sphere15, 3824.1598, 2
Sphere3, 962.1645, 1
Sphere19, 899.6598, 1
Sphere16, 874.1369, 1
Sphere7, 1161.9821, 1
Sphere9, 749.8662, 1
Sphere18, 986.0937, 1
Sphere13, 4450.4032, 3
Sphere1, 800.0267, 1
Sphere6, 748.1956, 1
Sphere5, 874.7686, 1
Sphere20, 2774.9593, 3
Sphere8, 774.7095, 1
Sphere17, 1586.3017, 1
Sphere15, 949.6499, 1
Sphere2, 1123.9857, 1
Sphere12, 799.3118, 1
Sphere4, 2049.9276, 1
Sphere14, 987.6241, 1
Sphere11, 1987.3483, 2
Sphere10, 874.421, 1
Sphere6, 1987.2948, 1
Sphere4, 3562.352, 1
Sphere8, 760.8708, 1
Sphere14, 974.5355, 1
Sphere17, 799.3583, 1
Sphere1, 712.9192, 1
Sphere9, 799.5883, 1
Sphere11, 948.661, 1
Sphere12, 1424.3908, 2
Sphere16, 736.0629, 1
Total, 81438.9875, 63
