Name, finalTime, numberOfAttempts
Sphere18, 33063.776, 4
Sphere3, 1687.5287, 1
Sphere15, 10374.4348, 1
Sphere8, 7374.9832, 3
Sphere7, 1611.5612, 1
Sphere4, 1161.1792, 1
Sphere2, 1311.9632, 1
Sphere9, 1373.9837, 1
Sphere12, 1262.2261, 1
Sphere10, 1112.4756, 1
Sphere11, 9374.6121, 1
Sphere1, 1698.9129, 1
Sphere20, 1124.3126, 1
Sphere5, 1199.1336, 1
Sphere6, 1073.6924, 1
Sphere16, 35787.7206, 8
Sphere17, 1586.1284, 1
Sphere13, 1799.774, 1
Sphere19, 16162.5609, 1
Sphere14, 7949.2307, 1
Sphere12, 1299.1408, 1
Sphere2, 1324.8347, 1
Sphere18, 13099.9599, 2
Sphere11, 14375.7345, 2
Sphere16, 2909.2212, 1
Sphere15, 2661.9139, 1
Sphere7, 1699.0518, 1
Sphere10, 1599.5675, 1
Sphere8, 21487.7438, 4
Sphere6, 1586.5397, 1
Sphere14, 2724.3258, 1
Sphere20, 5949.3617, 1
Sphere4, 2174.6511, 1
Sphere3, 1699.1961, 1
Sphere13, 1998.5884, 1
Sphere9, 1324.9963, 1
Sphere5, 1424.865, 1
Sphere17, 1311.8636, 1
Sphere19, 17275.2545, 1
Sphere1, 5300.2421, 2
Sphere2, 1762.061, 1
Sphere10, 1261.2287, 1
Sphere14, 2086.1089, 1
Sphere7, 1424.5916, 1
Sphere15, 8737.0164, 1
Sphere4, 1136.7066, 1
Sphere18, 1949.3617, 1
Sphere1, 10524.3023, 1
Sphere12, 4300.3063, 1
Sphere16, 5485.7723, 1
Total, 280019.6728, 68
Name, finalTime, numberOfAttempts
