Name, finalTime, numberOfAttempts
Sphere12, 1185.4329, 1
Sphere11, 2711.8041, 1
Sphere4, 1536.5786, 1
Sphere15, 873.8611, 1
Sphere8, 874.0148, 1
Sphere1, 662.2301, 1
Sphere3, 724.2783, 1
Sphere14, 824.1725, 1
Sphere16, 586.5004, 1
Sphere9, 1048.915, 1
Sphere17, 874.3393, 1
Sphere7, 1049.0344, 1
Sphere19, 812.796, 1
Sphere6, 849.7622, 1
Sphere13, 825.3072, 1
Sphere20, 949.693, 1
Sphere2, 723.9983, 1
Sphere10, 886.076, 1
Sphere5, 1000.0805, 1
Sphere18, 1385.6185, 2
Sphere10, 899.971, 1
Sphere17, 1961.4815, 2
Sphere9, 861.4557, 1
Sphere4, 1124.7933, 1
Sphere7, 1062.1927, 1
Sphere18, 1024.5586, 1
Sphere3, 799.5643, 1
Sphere11, 824.1547, 1
Sphere20, 849.7454, 1
Sphere15, 711.2111, 1
Sphere12, 1687.012, 2
Sphere5, 1460.8473, 1
Sphere13, 999.1212, 1
Sphere14, 1362.3286, 2
Sphere6, 1099.9245, 1
Sphere1, 935.9546, 1
Sphere19, 962.0423, 1
Sphere8, 911.8165, 1
Sphere16, 749.1935, 1
Sphere2, 636.9075, 1
Sphere1, 799.1602, 1
Sphere12, 824.5424, 1
Sphere5, 1923.9896, 1
Sphere14, 874.6613, 1
Sphere9, 1012.6159, 1
Sphere10, 687.3884, 1
Sphere8, 887.5161, 1
Sphere17, 811.2389, 1
Sphere7, 886.2564, 1
Sphere3, 724.5137, 1
Total, 50774.4591, 54
