Name, finalTime, numberOfAttempts
Sphere12, 811.9184, 1
Sphere10, 1087.9576, 1
Sphere16, 811.4781, 1
Sphere4, 949.1548, 1
Sphere7, 1311.7674, 2
Sphere17, 812.8273, 1
Sphere13, 1011.9901, 1
Sphere1, 812.057, 1
Sphere19, 649.8608, 1
Sphere18, 999.411, 1
Sphere14, 1475.0557, 2
Sphere3, 924.6708, 1
Sphere5, 1487.4036, 1
Sphere20, 787.6333, 1
Sphere6, 823.627, 1
Sphere11, 774.7257, 1
Sphere9, 861.9045, 1
Sphere8, 786.9312, 1
Sphere2, 937.666, 1
Sphere15, 937.4753, 1
Sphere3, 723.6333, 1
Sphere19, 874.0411, 1
Sphere16, 1024.3358, 1
Sphere7, 1274.6808, 1
Sphere9, 636.4539, 1
Sphere18, 1273.9047, 1
Sphere13, 2325.2658, 4
Sphere1, 711.1064, 1
Sphere6, 1075.7726, 1
Sphere5, 4350.5861, 3
Sphere20, 1208.1137, 1
Sphere8, 899.7589, 1
Sphere17, 899.7136, 1
Sphere15, 762.0528, 1
Sphere2, 799.3677, 1
Sphere12, 749.6372, 1
Sphere4, 849.2951, 1
Sphere14, 1987.3041, 2
Sphere11, 974.5355, 1
Sphere10, 1073.9018, 1
Sphere6, 1025.0706, 1
Sphere4, 1148.8761, 1
Sphere8, 762.1304, 1
Sphere14, 1324.9783, 2
Sphere17, 1549.8474, 2
Sphere1, 711.7785, 1
Sphere9, 973.4278, 1
Sphere11, 699.1806, 1
Sphere12, 849.0527, 1
Sphere16, 674.2031, 1
Total, 53276.2982, 60
