Name, finalTime, numberOfAttempts
Sphere18, 11999.79, 3
Sphere3, 3136.7883, 1
Sphere15, 4437.1452, 1
Sphere8, 4649.1098, 1
Sphere7, 1773.8338, 1
Sphere4, 14275.6787, 3
Sphere2, 6409.5259, 1
Sphere9, 4209.5063, 1
Sphere12, 2585.0438, 1
Sphere10, 1599.4225, 1
Sphere11, 2837.2707, 1
Sphere1, 1674.9159, 1
Sphere20, 2400.0734, 1
Sphere5, 2175.1328, 1
Sphere6, 5400.0434, 2
Sphere16, 4662.7349, 1
Sphere17, 2549.654, 1
Sphere13, 4737.2426, 1
Sphere19, 3611.9393, 1
Sphere14, 5049.4335, 1
Sphere12, 2936.8463, 1
Sphere2, 3499.4538, 1
Sphere18, 4399.5731, 1
Sphere11, 2999.4474, 1
Sphere16, 5009.6079, 1
Sphere15, 3886.7821, 1
Sphere7, 1737.171, 1
Sphere10, 1936.7333, 1
Sphere8, 4199.7226, 1
Sphere6, 2611.6733, 2
Sphere14, 4287.5944, 1
Sphere20, 1837.2902, 1
Sphere4, 3887.723, 1
Sphere3, 1786.6658, 1
Sphere13, 2900.2921, 1
Sphere9, 4737.2749, 1
Sphere5, 1686.4586, 1
Sphere17, 1637.6965, 1
Sphere19, 6588.146, 2
Sphere1, 2187.5087, 1
Sphere2, 3000.0195, 1
Sphere10, 1762.0987, 1
Sphere14, 3399.2842, 1
Sphere7, 2649.4676, 2
Sphere15, 2012.2256, 1
Sphere4, 3087.8822, 1
Sphere18, 4074.7266, 1
Sphere1, 2412.7698, 1
Sphere12, 2474.3615, 2
Sphere16, 3211.3566, 1
Total, 183041.916, 59
