Name, finalTime, numberOfAttempts
Sphere12, 1375.3712, 1
Sphere11, 2124.2753, 2
Sphere4, 1211.2658, 1
Sphere15, 3026.0104, 2
Sphere8, 1599.4256, 1
Sphere1, 1386.8919, 1
Sphere3, 2362.3919, 2
Sphere14, 3249.5165, 3
Sphere16, 1611.5087, 1
Sphere9, 1661.5274, 1
Sphere17, 4224.4568, 2
Sphere7, 2487.2331, 1
Sphere19, 1387.291, 1
Sphere6, 1824.8085, 1
Sphere13, 3386.7918, 2
Sphere20, 1749.3289, 1
Sphere2, 1586.9991, 1
Sphere10, 1598.8601, 1
Sphere5, 1949.6735, 1
Sphere18, 2249.432, 1
Sphere10, 1575.0414, 1
Sphere17, 1585.8386, 1
Sphere9, 1537.5503, 1
Sphere4, 1161.9174, 1
Sphere7, 1249.1282, 1
Sphere18, 1537.0911, 1
Sphere3, 1374.7387, 1
Sphere11, 1236.6706, 1
Sphere20, 1012.1546, 1
Sphere15, 1611.7845, 1
Sphere12, 1211.2927, 1
Sphere5, 2187.1813, 1
Sphere13, 2049.5215, 1
Sphere14, 1612.0772, 1
Sphere6, 999.7191, 1
Sphere1, 1161.7944, 1
Sphere19, 1837.2165, 1
Sphere8, 2311.5292, 2
Sphere16, 1399.6787, 1
Sphere2, 1612.6249, 1
Sphere1, 2812.0305, 2
Sphere12, 1888.109, 1
Sphere5, 2450.0567, 1
Sphere14, 1637.5556, 1
Sphere9, 1524.7713, 1
Sphere10, 1312.3508, 1
Sphere8, 1998.9934, 2
Sphere17, 1961.3195, 1
Sphere7, 1549.1157, 1
Sphere3, 1737.3782, 1
Total, 91215.1269, 60
