Name, finalTime, numberOfAttempts
Sphere19, 1437.5044, 1
Sphere16, 1074.232, 1
Sphere13, 1086.8532, 1
Sphere15, 1036.6224, 1
Sphere11, 1386.2345, 1
Sphere12, 949.6776, 1
Sphere7, 1023.9262, 1
Sphere18, 1549.8612, 1
Sphere10, 1237.2079, 1
Sphere8, 2188.1515, 2
Sphere3, 1349.4135, 1
Sphere9, 1536.1602, 1
Sphere1, 1512.0639, 2
Sphere2, 1123.6628, 1
Sphere4, 862.2911, 1
Sphere6, 1012.0346, 1
Sphere17, 1299.3376, 1
Sphere20, 973.844, 1
Sphere14, 1049.3706, 1
Sphere5, 949.5705, 1
Sphere17, 987.1651, 1
Sphere2, 887.3754, 1
Sphere4, 1136.9766, 1
Sphere11, 1061.6966, 1
Sphere18, 1011.5382, 1
Sphere1, 1161.5101, 1
Sphere13, 1024.2129, 1
Sphere14, 987.6082, 1
Sphere7, 1137.1241, 1
Sphere15, 949.521, 1
Sphere12, 1149.4552, 1
Sphere9, 1099.6198, 1
Sphere6, 1037.2025, 1
Sphere10, 2288.0921, 3
Sphere19, 1124.391, 1
Sphere8, 1074.1012, 1
Sphere3, 1199.0899, 1
Sphere20, 2236.3483, 3
Sphere16, 1186.5544, 1
Sphere5, 848.9731, 1
Sphere18, 1099.4454, 1
Sphere13, 1125.1955, 1
Sphere9, 2061.6096, 1
Sphere1, 986.7153, 1
Sphere7, 886.9588, 1
Sphere15, 2287.0229, 2
Sphere16, 1074.6018, 1
Sphere10, 986.6187, 1
Sphere14, 1212.3632, 1
Sphere2, 1499.2302, 1
Total, 61477.1913, 57
Name, finalTime, numberOfAttempts
