Name, finalTime, numberOfAttempts
Sphere12, 1262.0068, 1
Sphere11, 1049.8334, 1
Sphere4, 811.1694, 1
Sphere15, 1249.112, 1
Sphere8, 1199.5695, 1
Sphere1, 999.522, 1
Sphere3, 987.7983, 1
Sphere14, 1061.0357, 1
Sphere16, 987.2905, 2
Sphere9, 1111.7728, 1
Sphere17, 1074.1383, 1
Sphere7, 1211.325, 1
Sphere19, 1036.6668, 1
Sphere6, 1062.1913, 1
Sphere13, 948.948, 1
Sphere20, 1074.6994, 1
Sphere2, 913.01, 1
Sphere10, 961.8701, 1
Sphere5, 1712.051, 1
Sphere18, 825.0512, 1
Sphere10, 1537.3167, 1
Sphere17, 1486.5128, 1
Sphere9, 1325.2872, 1
Sphere4, 1062.6871, 1
Sphere7, 960.1243, 1
Sphere18, 848.9548, 1
Sphere3, 874.6616, 1
Sphere11, 986.7118, 1
Sphere20, 962.2637, 1
Sphere15, 899.9613, 1
Sphere12, 1286.9909, 1
Sphere5, 1274.8551, 1
Sphere13, 1212.1623, 1
Sphere14, 899.6744, 1
Sphere6, 825.3164, 1
Sphere1, 887.7823, 1
Sphere19, 1024.3931, 1
Sphere8, 949.6329, 1
Sphere16, 925.1463, 1
Sphere2, 786.5295, 1
Sphere1, 837.0136, 1
Sphere12, 950.5617, 1
Sphere5, 1099.909, 1
Sphere14, 649.3535, 1
Sphere9, 861.5025, 1
Sphere10, 936.8135, 1
Sphere8, 762.5854, 1
Sphere17, 950.355, 1
Sphere7, 911.7855, 1
Sphere3, 774.4153, 1
Total, 51313.1885, 51
