Name, finalTime, numberOfAttempts
Sphere12, 1699.0884, 1
Sphere10, 4450.5283, 2
Sphere16, 4762.4834, 1
Sphere4, 3261.4035, 2
Sphere7, 6037.3211, 2
Sphere17, 1999.3075, 1
Sphere13, 4398.8464, 1
Sphere1, 2812.2504, 1
Sphere19, 3898.7112, 2
Sphere18, 3298.8555, 1
Sphere14, 4685.1953, 1
Sphere3, 2859.5462, 1
Sphere5, 4637.1429, 1
Sphere20, 1173.8184, 1
Sphere6, 2074.8414, 1
Sphere11, 1574.8611, 1
Sphere9, 1334.0641, 1
Sphere8, 2599.5726, 1
Sphere2, 5536.1783, 2
Sphere15, 2599.1047, 1
Sphere3, 6424.3648, 2
Sphere19, 1900.0528, 1
Sphere16, 1461.6552, 1
Sphere7, 1261.7833, 1
Sphere9, 1124.2543, 1
Sphere18, 2485.8881, 1
Sphere13, 3424.4406, 1
Sphere1, 1261.4483, 1
Sphere6, 2413.0299, 2
Sphere5, 2212.2094, 1
Sphere20, 3237.3241, 1
Sphere8, 5724.1177, 2
Sphere17, 1947.0596, 1
Sphere15, 1800.0561, 1
Sphere2, 3024.5572, 1
Sphere12, 1886.84, 1
Sphere4, 3499.9043, 1
Sphere14, 1824.122, 1
Sphere11, 2512.5537, 1
Sphere10, 1462.5598, 1
Sphere6, 1961.818, 1
Sphere4, 2823.9354, 1
Sphere8, 1709.9975, 1
Sphere14, 2624.223, 1
Sphere17, 1612.6428, 1
Sphere1, 1462.0898, 1
Sphere9, 1524.5745, 1
Sphere11, 1674.3269, 1
Sphere12, 1574.4189, 1
Sphere16, 1710.9792, 1
Total, 135303.1533, 58
Name, finalTime, numberOfAttempts
