Name, finalTime, numberOfAttempts
Sphere12, 8686.9298, 1
Sphere10, 1275.1028, 2
Sphere16, 5950.7235, 1
Sphere4, 3762.6847, 1
Sphere7, 2497.8937, 1
Sphere17, 1324.8462, 1
Sphere13, 949.6461, 1
Sphere1, 3074.4537, 1
Sphere19, 1999.4772, 2
Sphere18, 1161.4123, 1
Sphere14, 1999.2267, 1
Sphere3, 1436.3132, 1
Sphere5, 3324.8153, 1
Sphere20, 1924.1335, 1
Sphere6, 2310.9753, 1
Sphere11, 2224.2123, 1
Sphere9, 937.118, 1
Sphere8, 836.9313, 1
Sphere2, 799.4896, 1
Sphere15, 812.1648, 1
Sphere3, 1736.2616, 1
Sphere19, 1911.6954, 1
Sphere16, 5399.7019, 1
Sphere7, 3824.4476, 2
Sphere9, 874.3168, 1
Sphere18, 2886.1897, 1
Sphere13, 974.6371, 1
Sphere1, 4361.5146, 1
Sphere6, 1748.764, 1
Sphere5, 1199.4479, 1
Sphere20, 2250.3986, 1
Sphere8, 1275.0607, 1
Sphere17, 788.086, 1
Sphere15, 862.0417, 1
Sphere2, 8724.8641, 1
Sphere12, 799.6807, 1
Sphere4, 3886.6551, 3
Sphere14, 936.5524, 1
Sphere11, 2548.8955, 1
Sphere10, 787.1563, 1
Sphere6, 5237.7837, 2
Sphere4, 862.7005, 1
Sphere8, 4736.7512, 1
Sphere14, 3098.9384, 2
Sphere17, 3524.1377, 2
Sphere1, 4099.57, 1
Sphere9, 3199.3463, 1
Sphere11, 1073.2931, 1
Sphere12, 2674.1197, 3
Sphere16, 4849.6421, 1
Total, 128452.7148, 60
