Name, finalTime, numberOfAttempts
Sphere12, 2873.4832, 1
Sphere10, 1786.8652, 1
Sphere16, 1324.3795, 1
Sphere4, 1362.8771, 1
Sphere7, 1212.1515, 1
Sphere17, 1474.7815, 1
Sphere13, 2361.9444, 1
Sphere1, 1749.7214, 1
Sphere19, 1198.8558, 1
Sphere18, 1698.9537, 1
Sphere14, 1537.2267, 1
Sphere3, 1687.1723, 1
Sphere5, 2950.4772, 1
Sphere20, 1287.102, 1
Sphere6, 3236.7227, 1
Sphere11, 1861.2933, 1
Sphere9, 1236.2015, 1
Sphere8, 1549.4199, 1
Sphere2, 2924.6014, 1
Sphere15, 1599.3274, 1
Sphere3, 1199.2429, 1
Sphere19, 1061.2399, 1
Sphere16, 1149.2383, 1
Sphere7, 1500.1444, 1
Sphere9, 1362.1121, 1
Sphere18, 4137.5084, 2
Sphere13, 1924.6424, 1
Sphere1, 1649.3198, 1
Sphere6, 1462.151, 1
Sphere5, 3248.9723, 1
Sphere20, 1886.6982, 1
Sphere8, 2138.0975, 1
Sphere17, 1724.314, 1
Sphere15, 1686.4666, 1
Sphere2, 2049.2746, 1
Sphere12, 1161.2005, 1
Sphere4, 1749.7083, 1
Sphere14, 1548.2893, 1
Sphere11, 1599.622, 1
Sphere10, 1249.1382, 1
Sphere6, 1749.1498, 1
Sphere4, 1749.2308, 1
Sphere8, 2049.2197, 1
Sphere14, 1462.4903, 1
Sphere17, 1674.3219, 1
Sphere1, 1736.5959, 1
Sphere9, 1349.3323, 1
Sphere11, 2861.9651, 2
Sphere12, 1275.1354, 1
Sphere16, 1386.643, 1
Total, 89725.7846, 52
