Name, finalTime, numberOfAttempts
Sphere12, 1888.3408, 1
Sphere11, 5250.289, 2
Sphere4, 1924.4009, 1
Sphere15, 2060.8962, 1
Sphere8, 2174.7596, 1
Sphere1, 1499.9373, 1
Sphere3, 1124.4113, 1
Sphere14, 4462.269, 2
Sphere16, 1399.1923, 1
Sphere9, 4637.1619, 3
Sphere17, 2348.9456, 1
Sphere7, 1912.7088, 1
Sphere19, 1437.5364, 1
Sphere6, 2187.253, 1
Sphere13, 2073.9863, 1
Sphere20, 1474.7534, 1
Sphere2, 4636.6774, 2
Sphere10, 4611.6838, 2
Sphere5, 2250.2129, 1
Sphere18, 1448.7925, 1
Sphere10, 4173.7975, 2
Sphere17, 1737.4122, 1
Sphere9, 2237.6214, 1
Sphere4, 1637.2552, 1
Sphere7, 1923.8154, 1
Sphere18, 1674.0777, 1
Sphere3, 1686.4266, 1
Sphere11, 1661.259, 1
Sphere20, 1249.5392, 1
Sphere15, 1611.8005, 1
Sphere12, 2449.4673, 2
Sphere5, 2274.3088, 1
Sphere13, 2424.2337, 2
Sphere14, 2274.5759, 1
Sphere6, 3461.8766, 2
Sphere1, 2409.2693, 2
Sphere19, 1512.7958, 1
Sphere8, 3611.4141, 2
Sphere16, 1037.144, 1
Sphere2, 1974.9083, 1
Sphere1, 1149.5347, 1
Sphere12, 1724.3485, 1
Sphere5, 4712.0926, 3
Sphere14, 1174.4222, 1
Sphere9, 2975.3314, 2
Sphere10, 1936.081, 1
Sphere8, 1261.4629, 1
Sphere17, 1824.0893, 1
Sphere7, 3249.5091, 2
Sphere3, 2036.1145, 2
Total, 115903.8237, 67
Name, finalTime, numberOfAttempts
