Name, finalTime, numberOfAttempts
Sphere12, 1950.0587, 1
Sphere10, 887.6099, 1
Sphere16, 1236.6597, 2
Sphere4, 1474.4959, 1
Sphere7, 1574.9217, 1
Sphere17, 1061.6836, 1
Sphere13, 1737.3771, 1
Sphere1, 1174.3288, 1
Sphere19, 1812.0037, 3
Sphere18, 2774.6383, 1
Sphere14, 1098.8291, 1
Sphere3, 1324.0319, 1
Sphere5, 2637.0843, 1
Sphere20, 1349.2751, 1
Sphere6, 2724.8641, 1
Sphere11, 1861.6163, 1
Sphere9, 1225.2603, 1
Sphere8, 1287.0147, 1
Sphere2, 686.3427, 1
Sphere15, 2211.7643, 2
Sphere3, 1000.2552, 1
Sphere19, 1637.8975, 2
Sphere16, 1186.7168, 1
Sphere7, 1099.7241, 1
Sphere9, 1137.5684, 2
Sphere18, 2310.0391, 1
Sphere13, 1461.7064, 1
Sphere1, 1348.5793, 1
Sphere6, 1374.5369, 1
Sphere5, 2199.0439, 1
Sphere20, 1399.0413, 1
Sphere8, 1223.5362, 1
Sphere17, 4574.8572, 3
Sphere15, 1586.9669, 1
Sphere2, 1811.5007, 1
Sphere12, 874.2813, 1
Sphere4, 1849.5487, 1
Sphere14, 1061.7254, 1
Sphere11, 1212.0775, 1
Sphere10, 2074.3625, 2
Sphere6, 1786.9976, 1
Sphere4, 1537.1551, 1
Sphere8, 2512.1221, 2
Sphere14, 1311.3348, 1
Sphere17, 1548.9931, 1
Sphere1, 848.9237, 1
Sphere9, 1099.0065, 1
Sphere11, 1024.9971, 1
Sphere12, 674.3255, 1
Sphere16, 674.4022, 1
Total, 77565.0557, 60
