Name, finalTime, numberOfAttempts
Sphere12, 5237.6312, 1
Sphere11, 1736.1352, 1
Sphere4, 1224.407, 1
Sphere15, 1348.6985, 1
Sphere8, 1536.8438, 1
Sphere1, 1188.1086, 1
Sphere3, 912.2035, 1
Sphere14, 3412.5848, 1
Sphere16, 1774.4496, 1
Sphere9, 1299.5226, 1
Sphere17, 1062.5, 1
Sphere7, 1125.0134, 1
Sphere19, 1287.2261, 2
Sphere6, 924.3554, 1
Sphere13, 798.927, 1
Sphere20, 924.4144, 1
Sphere2, 3024.3525, 1
Sphere10, 911.7148, 1
Sphere5, 1599.03, 1
Sphere18, 762.2628, 1
Sphere10, 1062.0952, 1
Sphere17, 2987.4645, 2
Sphere9, 1286.7848, 2
Sphere4, 1912.0557, 1
Sphere7, 1324.7584, 1
Sphere18, 1274.7653, 1
Sphere3, 1224.6087, 1
Sphere11, 2186.5211, 1
Sphere20, 1223.5736, 1
Sphere15, 1199.6953, 1
Sphere12, 2887.338, 1
Sphere5, 2786.1843, 2
Sphere13, 4824.9591, 1
Sphere14, 1237.1728, 1
Sphere6, 836.3008, 1
Sphere1, 3224.3727, 1
Sphere19, 1224.6155, 1
Sphere8, 1024.9858, 1
Sphere16, 1623.6709, 1
Sphere2, 1099.3364, 1
Sphere1, 762.0236, 1
Sphere12, 788.0242, 1
Sphere5, 1824.867, 1
Sphere14, 774.9924, 1
Sphere9, 948.9617, 1
Sphere10, 1674.8055, 1
Sphere8, 1336.1904, 1
Sphere17, 1074.1313, 1
Sphere7, 1324.6726, 1
Sphere3, 1875.1345, 1
Total, 80952.384, 54
Name, finalTime, numberOfAttempts
