Name, finalTime, numberOfAttempts
Sphere12, 574.1441, 1
Sphere11, 1499.7875, 1
Sphere4, 1837.8554, 1
Sphere15, 1462.4514, 1
Sphere8, 1086.5181, 1
Sphere1, 836.9156, 1
Sphere3, 1649.1006, 1
Sphere14, 3024.597, 3
Sphere16, 1224.4163, 1
Sphere9, 1337.7482, 1
Sphere17, 1161.4195, 1
Sphere7, 1349.0415, 1
Sphere19, 1162.0914, 1
Sphere6, 1175.7755, 1
Sphere13, 823.5395, 1
Sphere20, 886.7002, 1
Sphere2, 1462.6452, 1
Sphere10, 910.9645, 1
Sphere5, 1862.1146, 1
Sphere18, 961.3008, 1
Sphere10, 1525.3764, 1
Sphere17, 1937.5639, 2
Sphere9, 1087.2486, 1
Sphere4, 911.8805, 1
Sphere7, 1135.7187, 1
Sphere18, 924.3902, 1
Sphere3, 949.497, 1
Sphere11, 1074.2323, 1
Sphere20, 1049.325, 1
Sphere15, 1261.8822, 1
Sphere12, 1149.9515, 1
Sphere5, 1149.2214, 1
Sphere13, 1237.3879, 1
Sphere14, 998.8062, 1
Sphere6, 999.2881, 1
Sphere1, 899.8161, 1
Sphere19, 1986.6292, 2
Sphere8, 1173.7897, 1
Sphere16, 974.7054, 1
Sphere2, 824.7121, 1
Sphere1, 912.6958, 1
Sphere12, 949.8132, 1
Sphere5, 1074.3303, 1
Sphere14, 1261.6848, 1
Sphere9, 1299.836, 1
Sphere10, 912.2421, 1
Sphere8, 1049.1361, 1
Sphere17, 2298.9945, 1
Sphere7, 1037.158, 1
Sphere3, 899.6561, 1
Total, 61264.0947, 54
