Name, finalTime, numberOfAttempts
Sphere18, 3336.8076, 1
Sphere3, 911.7197, 1
Sphere15, 1311.4578, 1
Sphere8, 1174.7739, 1
Sphere7, 787.2183, 1
Sphere4, 1587.7796, 1
Sphere2, 1174.2861, 1
Sphere9, 948.756, 1
Sphere12, 674.3032, 1
Sphere10, 799.4052, 1
Sphere11, 1273.9466, 1
Sphere1, 1337.6996, 1
Sphere20, 624.4007, 1
Sphere5, 799.169, 1
Sphere6, 586.46, 1
Sphere16, 2911.8251, 4
Sphere17, 873.7857, 1
Sphere13, 2037.1149, 1
Sphere19, 8249.9778, 2
Sphere14, 1011.3394, 1
Sphere12, 737.1804, 1
Sphere2, 1812.439, 1
Sphere18, 3100.3919, 1
Sphere11, 2198.8992, 1
Sphere16, 699.4591, 1
Sphere15, 686.4892, 1
Sphere7, 836.6705, 1
Sphere10, 1223.947, 1
Sphere8, 1499.096, 2
Sphere6, 812.6531, 1
Sphere14, 649.2952, 1
Sphere20, 636.5748, 1
Sphere4, 1749.8285, 1
Sphere3, 673.3296, 1
Sphere13, 3212.4098, 3
Sphere9, 861.9195, 1
Sphere5, 661.3069, 1
Sphere17, 624.9154, 1
Sphere19, 3737.4254, 1
Sphere1, 1450.0562, 1
Sphere2, 1200.3937, 1
Sphere10, 674.8736, 1
Sphere14, 1599.9468, 2
Sphere7, 712.5094, 1
Sphere15, 949.99, 1
Sphere4, 1100.1847, 1
Sphere18, 2586.5533, 2
Sphere1, 1387.382, 1
Sphere12, 1387.256, 1
Sphere16, 986.4529, 1
Total, 72888.9861, 59
