Name, finalTime, numberOfAttempts
Sphere12, 1162.3315, 1
Sphere11, 1211.045, 1
Sphere4, 1761.8914, 2
Sphere15, 1750.0599, 2
Sphere8, 1462.6377, 1
Sphere1, 836.218, 1
Sphere3, 973.7876, 1
Sphere14, 1298.7459, 1
Sphere16, 1049.398, 1
Sphere9, 2599.0963, 2
Sphere17, 1261.9276, 1
Sphere7, 1349.0997, 1
Sphere19, 987.4218, 1
Sphere6, 1361.8021, 1
Sphere13, 1299.5106, 1
Sphere20, 1623.9232, 1
Sphere2, 1137.0254, 1
Sphere10, 1161.0964, 1
Sphere5, 1549.9682, 1
Sphere18, 886.6507, 1
Sphere10, 1436.6918, 1
Sphere17, 1261.7884, 1
Sphere9, 1099.6787, 1
Sphere4, 1174.5381, 1
Sphere7, 1049.3137, 1
Sphere18, 1012.5593, 1
Sphere3, 999.7828, 1
Sphere11, 1937.3435, 2
Sphere20, 999.3019, 1
Sphere15, 900.1172, 1
Sphere12, 1237.4392, 1
Sphere5, 1312.1488, 1
Sphere13, 1512.3582, 1
Sphere14, 1386.1654, 1
Sphere6, 899.1922, 1
Sphere1, 824.0226, 1
Sphere19, 1074.1715, 1
Sphere8, 1049.4116, 1
Sphere16, 1049.7982, 1
Sphere2, 1725.4205, 2
Sphere1, 1137.1903, 1
Sphere12, 862.5746, 1
Sphere5, 1837.6244, 1
Sphere14, 1036.9234, 1
Sphere9, 1012.2061, 1
Sphere10, 857.8721, 1
Sphere8, 1099.181, 1
Sphere17, 1499.1457, 1
Sphere7, 1361.8365, 1
Sphere3, 911.4984, 1
Total, 62313.9219, 55
