Name, finalTime, numberOfAttempts
Sphere18, 26399.9157, 8
Sphere3, 8987.4314, 2
Sphere15, 17963.0773, 3
Sphere8, 7399.5328, 1
Sphere7, 2049.2873, 1
Sphere4, 2236.7383, 1
Sphere2, 1474.5057, 1
Sphere9, 1762.3794, 1
Sphere12, 1462.4133, 1
Sphere10, 1499.1277, 1
Sphere11, 29836.9362, 2
Sphere1, 4774.4032, 2
Sphere20, 5687.634, 1
Sphere5, 1536.9285, 1
Sphere6, 1112.1004, 1
Sphere16, 5724.844, 2
Sphere17, 2049.8086, 1
Sphere13, 1824.684, 1
Sphere19, 33950.9996, 5
Sphere14, 7924.9546, 3
Sphere12, 5962.262, 2
Sphere2, 1324.4915, 1
Sphere18, 5712.9918, 2
Sphere11, 45113.0209, 5
Sphere16, 6997.3279, 2
Sphere15, 3086.9018, 1
Sphere7, 1986.9532, 1
Sphere10, 1536.5188, 1
Sphere8, 6975.102, 2
Sphere6, 2062.3263, 1
Sphere14, 4150.3653, 1
Sphere20, 1686.773, 1
Sphere4, 1449.4678, 1
Sphere3, 1361.6709, 1
Sphere13, 4000.2213, 1
Sphere9, 1550.0905, 1
Sphere5, 1949.651, 1
Sphere17, 1387.4863, 1
Sphere19, 22162.3703, 4
Sphere1, 1824.8012, 1
Sphere2, 1574.0794, 1
Sphere10, 1412.865, 1
Sphere14, 3074.8169, 1
Sphere7, 2661.9984, 1
Sphere15, 9874.8939, 2
Sphere4, 5700.4078, 1
Sphere18, 21562.8373, 3
Sphere1, 1936.6502, 1
Sphere12, 1287.4017, 1
Sphere16, 5487.5376, 2
Total, 342532.8114, 84
Name, finalTime, numberOfAttempts
