Name, finalTime, numberOfAttempts
Sphere12, 1323.6905, 1
Sphere10, 1199.5796, 1
Sphere16, 2724.2913, 3
Sphere4, 1475.048, 1
Sphere7, 1100.1305, 1
Sphere17, 987.293, 1
Sphere13, 811.9017, 1
Sphere1, 2262.2908, 1
Sphere19, 636.2986, 1
Sphere18, 962.8434, 1
Sphere14, 1025.0128, 1
Sphere3, 1274.4901, 1
Sphere5, 825.3383, 1
Sphere20, 798.9702, 1
Sphere6, 824.1326, 1
Sphere11, 662.781, 1
Sphere9, 899.7944, 1
Sphere8, 1948.9984, 2
Sphere2, 1912.7502, 2
Sphere15, 1036.8363, 1
Sphere3, 723.8815, 1
Sphere19, 1012.7084, 1
Sphere16, 1024.6497, 1
Sphere7, 861.861, 1
Sphere9, 749.7269, 1
Sphere18, 810.8094, 1
Sphere13, 649.0912, 1
Sphere1, 762.2683, 1
Sphere6, 749.6437, 1
Sphere5, 1161.2464, 1
Sphere20, 836.7579, 1
Sphere8, 1449.7231, 1
Sphere17, 1162.0098, 1
Sphere15, 811.8367, 1
Sphere2, 762.6661, 1
Sphere12, 712.1758, 1
Sphere4, 624.6765, 1
Sphere14, 4411.7069, 3
Sphere11, 1224.4362, 1
Sphere10, 849.7831, 1
Sphere6, 787.4573, 1
Sphere4, 898.7963, 1
Sphere8, 2262.2782, 2
Sphere14, 949.9678, 1
Sphere17, 661.8888, 1
Sphere1, 762.2934, 1
Sphere9, 712.3034, 1
Sphere11, 1149.6555, 1
Sphere12, 1774.3457, 3
Sphere16, 786.9243, 1
Total, 56812.977, 59
