Name, finalTime, numberOfAttempts
Sphere18, 8648.968, 2
Sphere3, 1511.9753, 1
Sphere15, 1549.9256, 1
Sphere8, 1423.9674, 1
Sphere7, 1062.4126, 1
Sphere4, 2149.4536, 1
Sphere2, 1137.399, 1
Sphere9, 1161.7015, 1
Sphere12, 1236.7022, 1
Sphere10, 1011.8651, 1
Sphere11, 4637.6495, 1
Sphere1, 3274.6603, 1
Sphere20, 1074.3342, 1
Sphere5, 1048.4036, 1
Sphere6, 687.1878, 1
Sphere16, 1899.1453, 1
Sphere17, 2249.0316, 1
Sphere13, 1837.2081, 2
Sphere19, 7062.0609, 1
Sphere14, 1924.3634, 1
Sphere12, 1324.6753, 1
Sphere2, 2073.8557, 1
Sphere18, 3824.0031, 2
Sphere11, 1449.2277, 1
Sphere16, 1137.0993, 1
Sphere15, 5186.7274, 1
Sphere7, 1886.6298, 1
Sphere10, 2124.0847, 1
Sphere8, 2337.1135, 1
Sphere6, 1350.4643, 1
Sphere14, 1173.8063, 1
Sphere20, 1474.3744, 1
Sphere4, 986.4118, 1
Sphere3, 936.8064, 1
Sphere13, 1211.6209, 1
Sphere9, 849.8479, 1
Sphere5, 1061.9999, 1
Sphere17, 962.16, 1
Sphere19, 3398.9125, 1
Sphere1, 2774.3009, 2
Sphere2, 1574.9387, 1
Sphere10, 2236.5891, 1
Sphere14, 4149.1604, 3
Sphere7, 1236.7733, 1
Sphere15, 1262.7292, 1
Sphere4, 1874.0075, 1
Sphere18, 2187.689, 1
Sphere1, 1711.7943, 1
Sphere12, 1348.9359, 1
Sphere16, 1487.1761, 1
Total, 103214.0113, 56
