Name, finalTime, numberOfAttempts
Sphere18, 1648.242, 1
Sphere3, 1861.5053, 1
Sphere15, 7112.142, 2
Sphere8, 4137.0957, 2
Sphere7, 2274.6054, 1
Sphere4, 4349.801, 1
Sphere2, 2449.127, 1
Sphere9, 1549.1518, 1
Sphere12, 1499.3774, 1
Sphere10, 2637.4094, 1
Sphere11, 7412.9327, 1
Sphere1, 2050.2327, 1
Sphere20, 1712.0351, 1
Sphere5, 1624.2665, 1
Sphere6, 1361.4393, 1
Sphere16, 2873.9963, 1
Sphere17, 1149.3182, 1
Sphere13, 2612.7333, 1
Sphere19, 11549.7464, 3
Sphere14, 8062.1171, 2
Sphere12, 1711.8254, 1
Sphere2, 3162.1741, 1
Sphere18, 2861.9621, 1
Sphere11, 4674.4779, 1
Sphere16, 4373.2885, 2
Sphere15, 4549.5922, 2
Sphere7, 1224.8796, 1
Sphere10, 2149.623, 1
Sphere8, 1898.5904, 1
Sphere6, 1912.4275, 1
Sphere14, 3511.8788, 1
Sphere20, 949.6925, 1
Sphere4, 3574.3547, 1
Sphere3, 1036.312, 1
Sphere13, 2349.857, 1
Sphere9, 1759.7498, 1
Sphere5, 1249.1805, 1
Sphere17, 1449.8628, 1
Sphere19, 3686.8602, 1
Sphere1, 1387.463, 1
Sphere2, 2711.9116, 1
Sphere10, 1124.7275, 1
Sphere14, 3849.7602, 1
Sphere7, 1075.3029, 1
Sphere15, 2824.2754, 1
Sphere4, 8437.3588, 2
Sphere18, 2562.4297, 1
Sphere1, 1649.6943, 1
Sphere12, 1111.055, 1
Sphere16, 3724.5358, 1
Total, 148502.2485, 58
Name, finalTime, numberOfAttempts
