Name, finalTime, numberOfAttempts
Sphere19, 1286.3144, 1
Sphere16, 1836.7364, 1
Sphere13, 2461.6392, 1
Sphere15, 1598.6341, 1
Sphere11, 1224.7101, 1
Sphere12, 1649.3777, 1
Sphere7, 2174.7258, 1
Sphere18, 1949.7486, 1
Sphere10, 1648.7834, 1
Sphere8, 1662.4369, 1
Sphere3, 1211.7007, 1
Sphere9, 2524.3805, 1
Sphere1, 2336.23, 1
Sphere2, 1024.4415, 1
Sphere4, 1674.3824, 1
Sphere6, 1599.3118, 1
Sphere17, 2324.3325, 1
Sphere20, 1624.3391, 1
Sphere14, 2461.9835, 2
Sphere5, 1574.8059, 1
Sphere17, 2462.59, 1
Sphere2, 2149.6422, 1
Sphere4, 1611.2516, 1
Sphere11, 2549.8613, 2
Sphere18, 1287.3717, 1
Sphere1, 1875.1867, 1
Sphere13, 1299.3007, 1
Sphere14, 2011.6841, 1
Sphere7, 1636.9745, 1
Sphere15, 924.6314, 1
Sphere12, 1837.2674, 1
Sphere9, 1999.1194, 1
Sphere6, 1624.1061, 1
Sphere10, 1823.8469, 1
Sphere19, 1749.4185, 1
Sphere8, 1824.6502, 1
Sphere3, 1699.9664, 1
Sphere20, 1724.241, 1
Sphere16, 1537.2312, 1
Sphere5, 1562.2964, 1
Sphere18, 1587.9112, 1
Sphere13, 2886.9007, 1
Sphere9, 3936.9202, 2
Sphere1, 1162.4009, 1
Sphere7, 1436.5623, 1
Sphere15, 774.1084, 1
Sphere16, 1474.1774, 1
Sphere10, 1337.504, 1
Sphere14, 1312.1776, 1
Sphere2, 1999.8321, 1
Total, 88977.06, 53
