Name, finalTime, numberOfAttempts
Sphere12, 8024.4429, 1
Sphere10, 10399.3069, 2
Sphere16, 1661.0008, 1
Sphere4, 16337.4143, 1
Sphere7, 1262.002, 1
Sphere17, 3625.2312, 1
Sphere13, 10412.6845, 1
Sphere1, 3049.1122, 1
Sphere19, 3337.2863, 1
Sphere18, 998.4806, 1
Sphere14, 4099.1574, 2
Sphere3, 1937.1553, 1
Sphere5, 1600.0232, 1
Sphere20, 5162.0026, 1
Sphere6, 5161.5503, 1
Sphere11, 2949.1245, 2
Sphere9, 1462.0186, 1
Sphere8, 1598.905, 1
Sphere2, 1098.5293, 1
Sphere15, 1436.7558, 1
Sphere3, 1137.0159, 1
Sphere19, 962.2689, 1
Sphere16, 2486.6897, 1
Sphere7, 1824.7478, 1
Sphere9, 999.7174, 1
Sphere18, 2147.7055, 1
Sphere13, 1911.9895, 1
Sphere1, 1124.3306, 1
Sphere6, 2687.2087, 1
Sphere5, 3799.5459, 1
Sphere20, 1211.7603, 1
Sphere8, 4111.8852, 1
Sphere17, 1474.405, 1
Sphere15, 1999.343, 1
Sphere2, 1074.2693, 1
Sphere12, 1311.7791, 1
Sphere4, 1036.3473, 1
Sphere14, 4562.303, 2
Sphere11, 1612.1536, 1
Sphere10, 1423.9263, 1
Sphere6, 2524.3344, 1
Sphere4, 2799.1709, 1
Sphere8, 1024.0394, 1
Sphere14, 2611.5041, 2
Sphere17, 4399.4608, 1
Sphere1, 911.2335, 1
Sphere9, 1274.105, 1
Sphere11, 998.7345, 1
Sphere12, 899.6068, 1
Sphere16, 774.699, 1
Total, 142765.4347, 55
