Name, finalTime, numberOfAttempts
Sphere18, 937.0476, 1
Sphere3, 874.0531, 1
Sphere15, 6600.3461, 1
Sphere8, 2211.8941, 1
Sphere7, 1099.7662, 1
Sphere4, 1261.3634, 1
Sphere2, 1924.1702, 1
Sphere9, 1262.1167, 1
Sphere12, 2099.7131, 2
Sphere10, 1024.5019, 1
Sphere11, 1486.9118, 1
Sphere1, 4124.9796, 1
Sphere20, 1361.8511, 1
Sphere5, 787.2517, 1
Sphere6, 749.0967, 1
Sphere16, 12525.409, 2
Sphere17, 1137.2212, 1
Sphere13, 975.1636, 1
Sphere19, 2612.4784, 1
Sphere14, 5675.0711, 1
Sphere12, 987.7852, 1
Sphere2, 849.1224, 1
Sphere18, 924.5141, 1
Sphere11, 1261.7168, 1
Sphere16, 1987.1468, 1
Sphere15, 974.2567, 1
Sphere7, 2725.1669, 2
Sphere10, 2350.2019, 1
Sphere8, 1426.3278, 1
Sphere6, 1048.2388, 1
Sphere14, 5723.9875, 2
Sphere20, 974.8581, 1
Sphere4, 961.8028, 1
Sphere3, 1061.5471, 1
Sphere13, 1699.7023, 1
Sphere9, 1025.0123, 1
Sphere5, 1099.9013, 1
Sphere17, 837.3271, 1
Sphere19, 1436.4116, 1
Sphere1, 6624.3287, 1
Sphere2, 762.5902, 1
Sphere10, 874.7921, 1
Sphere14, 6023.8795, 4
Sphere7, 974.8642, 1
Sphere15, 7949.7039, 1
Sphere4, 899.2336, 1
Sphere18, 1436.978, 1
Sphere1, 2224.6948, 1
Sphere12, 948.952, 1
Sphere16, 1675.5622, 1
Total, 110503.8144, 57
