Name, finalTime, numberOfAttempts
Sphere19, 1299.2178, 1
Sphere16, 1600.4425, 1
Sphere13, 2537.5325, 1
Sphere15, 1087.4535, 1
Sphere11, 1598.9385, 1
Sphere12, 1287.1223, 1
Sphere7, 1737.2405, 1
Sphere18, 1462.8251, 1
Sphere10, 1787.1744, 1
Sphere8, 1715.8543, 1
Sphere3, 1471.0201, 1
Sphere9, 1661.9911, 1
Sphere1, 1548.8101, 1
Sphere2, 1187.1521, 1
Sphere4, 1674.7381, 1
Sphere6, 1399.3275, 1
Sphere17, 1437.0439, 1
Sphere20, 1537.0582, 1
Sphere14, 1186.9143, 1
Sphere5, 1386.8062, 1
Sphere17, 1986.2129, 1
Sphere2, 1937.0266, 1
Sphere4, 1199.7352, 1
Sphere11, 1312.5228, 1
Sphere18, 1323.2481, 1
Sphere1, 1775.0409, 1
Sphere13, 1086.5201, 1
Sphere14, 1412.8867, 1
Sphere7, 1175.1279, 1
Sphere15, 1662.307, 1
Sphere12, 2099.7772, 1
Sphere9, 1774.6269, 1
Sphere6, 1399.4945, 1
Sphere10, 2036.2518, 1
Sphere19, 1586.7731, 1
Sphere8, 1673.7537, 1
Sphere3, 1174.6113, 1
Sphere20, 1349.9126, 1
Sphere16, 2436.702, 1
Sphere5, 1674.8765, 1
Sphere18, 1487.9458, 1
Sphere13, 1299.6168, 1
Sphere9, 4886.885, 1
Sphere1, 1812.0288, 1
Sphere7, 2586.4225, 1
Sphere15, 1462.3489, 1
Sphere16, 1674.6581, 1
Sphere10, 1423.6982, 1
Sphere14, 1737.504, 1
Sphere2, 1749.7637, 1
Total, 82827.8531, 50
