Name, finalTime, numberOfAttempts
Sphere12, 6836.1262, 1
Sphere10, 899.2873, 1
Sphere16, 1924.1684, 1
Sphere4, 2175.0737, 2
Sphere7, 1787.326, 1
Sphere17, 1550.3683, 1
Sphere13, 1450.0997, 1
Sphere1, 2562.6566, 1
Sphere19, 1036.9144, 1
Sphere18, 2974.5508, 1
Sphere14, 1298.3146, 1
Sphere3, 1237.6189, 1
Sphere5, 2748.9777, 1
Sphere20, 3787.5044, 1
Sphere6, 2674.3546, 1
Sphere11, 1574.2761, 1
Sphere9, 1599.3709, 1
Sphere8, 1386.6128, 1
Sphere2, 1537.8708, 1
Sphere15, 1287.3001, 1
Sphere3, 1087.139, 1
Sphere19, 1887.7283, 1
Sphere16, 1599.39, 1
Sphere7, 1199.8601, 1
Sphere9, 1250.1327, 1
Sphere18, 3024.8673, 1
Sphere13, 2824.8728, 1
Sphere1, 2674.2479, 2
Sphere6, 3225.3716, 1
Sphere5, 2262.5486, 1
Sphere20, 2286.8502, 1
Sphere8, 1174.5741, 1
Sphere17, 1200.3502, 1
Sphere15, 1236.7766, 1
Sphere2, 1099.1083, 1
Sphere12, 924.1613, 1
Sphere4, 5487.4093, 6
Sphere14, 4311.6513, 1
Sphere11, 1587.2563, 1
Sphere10, 1036.7221, 1
Sphere6, 4049.4018, 1
Sphere4, 2298.7281, 1
Sphere8, 1724.0216, 1
Sphere14, 3762.0879, 1
Sphere17, 7962.699, 1
Sphere1, 3587.4288, 2
Sphere9, 1011.0438, 1
Sphere11, 1025.2574, 1
Sphere12, 861.9693, 1
Sphere16, 6986.153, 1
Total, 117001.3198, 58
