Name, finalTime, numberOfAttempts
Sphere12, 1887.3143, 1
Sphere11, 3324.5867, 2
Sphere4, 2324.4912, 2
Sphere15, 1523.9776, 1
Sphere8, 1749.2267, 1
Sphere1, 1200.0988, 1
Sphere3, 2499.3469, 2
Sphere14, 3962.5488, 2
Sphere16, 1762.0749, 1
Sphere9, 7399.7339, 3
Sphere17, 3986.872, 1
Sphere7, 1951.1317, 1
Sphere19, 2886.2485, 1
Sphere6, 1811.9916, 1
Sphere13, 1973.7532, 1
Sphere20, 2712.2976, 1
Sphere2, 5025.1519, 2
Sphere10, 5687.5172, 2
Sphere5, 1974.9218, 1
Sphere18, 1587.3043, 1
Sphere10, 2111.7954, 2
Sphere17, 2162.7524, 1
Sphere9, 3549.6896, 2
Sphere4, 1412.1691, 1
Sphere7, 2674.5947, 1
Sphere18, 1550.0667, 1
Sphere3, 1086.4079, 1
Sphere11, 4237.9407, 2
Sphere20, 3837.5776, 2
Sphere15, 1361.9795, 1
Sphere12, 1774.4978, 1
Sphere5, 1923.7244, 1
Sphere13, 2087.1006, 1
Sphere14, 1611.9726, 1
Sphere6, 1011.806, 1
Sphere1, 900.0961, 1
Sphere19, 1636.5481, 1
Sphere8, 3824.067, 1
Sphere16, 1486.2384, 1
Sphere2, 1974.2219, 1
Sphere1, 1048.9594, 1
Sphere12, 1037.1033, 1
Sphere5, 1962.6733, 1
Sphere14, 1124.1313, 1
Sphere9, 3698.8072, 1
Sphere10, 3499.8589, 1
Sphere8, 1611.6878, 1
Sphere17, 4262.8764, 1
Sphere7, 2349.5814, 1
Sphere3, 2136.992, 1
Total, 122203.3814, 62
