Name, finalTime, numberOfAttempts
Sphere12, 499.4829, 1
Sphere11, 836.8983, 1
Sphere4, 699.1797, 1
Sphere15, 1325.3004, 2
Sphere8, 849.984, 1
Sphere1, 575.6246, 1
Sphere3, 685.8865, 1
Sphere14, 974.2679, 1
Sphere16, 499.8131, 1
Sphere9, 886.7119, 1
Sphere17, 999.5956, 2
Sphere7, 849.8412, 1
Sphere19, 961.4031, 2
Sphere6, 749.4933, 1
Sphere13, 725.2344, 1
Sphere20, 874.7507, 1
Sphere2, 799.3601, 1
Sphere10, 936.879, 1
Sphere5, 1011.9623, 1
Sphere18, 924.8836, 1
Sphere10, 1011.5405, 1
Sphere17, 849.6238, 1
Sphere9, 724.158, 1
Sphere4, 562.0509, 1
Sphere7, 662.2458, 1
Sphere18, 786.0722, 1
Sphere3, 586.6589, 1
Sphere11, 723.9008, 1
Sphere20, 637.3564, 1
Sphere15, 849.8188, 1
Sphere12, 774.5512, 1
Sphere5, 1161.5483, 1
Sphere13, 1637.4549, 1
Sphere14, 1049.2418, 1
Sphere6, 650.4047, 1
Sphere1, 662.4658, 1
Sphere19, 849.929, 1
Sphere8, 800.3744, 1
Sphere16, 699.4028, 1
Sphere2, 1136.9165, 2
Sphere1, 612.3912, 1
Sphere12, 637.8455, 1
Sphere5, 987.0959, 1
Sphere14, 912.3906, 2
Sphere9, 798.9811, 1
Sphere10, 523.6666, 1
Sphere8, 587.1136, 1
Sphere17, 661.301, 1
Sphere7, 711.0472, 1
Sphere3, 612.5321, 1
Total, 40552.4113, 55
