Name, finalTime, numberOfAttempts
Sphere19, 1073.4776, 1
Sphere16, 2074.5561, 2
Sphere13, 1762.2713, 2
Sphere15, 1225.0873, 1
Sphere11, 1411.0828, 2
Sphere12, 1111.5264, 1
Sphere7, 3225.0304, 4
Sphere18, 1362.0896, 1
Sphere10, 1725.2328, 1
Sphere8, 912.8671, 1
Sphere3, 1349.8327, 1
Sphere9, 974.8101, 1
Sphere1, 1112.8323, 1
Sphere2, 2837.3487, 2
Sphere4, 1137.2866, 1
Sphere6, 961.8733, 1
Sphere17, 2037.0182, 1
Sphere20, 1024.3962, 1
Sphere14, 1212.343, 1
Sphere5, 1111.698, 1
Sphere17, 1250.4648, 1
Sphere2, 1136.8557, 1
Sphere4, 948.8522, 1
Sphere11, 1337.1234, 1
Sphere18, 1011.6612, 1
Sphere1, 1174.3328, 1
Sphere13, 1061.5214, 1
Sphere14, 1487.2591, 1
Sphere7, 974.6599, 1
Sphere15, 949.5551, 1
Sphere12, 1149.6845, 1
Sphere9, 873.9404, 1
Sphere6, 1162.6057, 1
Sphere10, 974.9955, 1
Sphere19, 1062.2877, 1
Sphere8, 1237.7601, 1
Sphere3, 1162.0636, 1
Sphere20, 1687.1791, 2
Sphere16, 1099.2887, 1
Sphere5, 1799.9123, 2
Sphere18, 1424.8609, 1
Sphere13, 1612.5045, 2
Sphere9, 961.1812, 1
Sphere1, 948.8787, 1
Sphere7, 2724.6201, 2
Sphere15, 861.899, 1
Sphere16, 2811.6916, 2
Sphere10, 1274.3068, 1
Sphere14, 2136.6904, 1
Sphere2, 836.2639, 1
Total, 68800.5316, 62
