Name, finalTime, numberOfAttempts
Sphere12, 3662.3176, 3
Sphere10, 2874.8642, 1
Sphere16, 1837.1574, 1
Sphere4, 7149.8244, 3
Sphere7, 2311.4611, 1
Sphere17, 1924.2208, 1
Sphere13, 4223.4575, 1
Sphere1, 2861.6872, 1
Sphere19, 2111.9515, 1
Sphere18, 2261.8483, 1
Sphere14, 2200.0552, 1
Sphere3, 1986.9051, 1
Sphere5, 6525.075, 1
Sphere20, 4199.98, 2
Sphere6, 2886.9287, 1
Sphere11, 1537.0967, 1
Sphere9, 1787.0495, 1
Sphere8, 3149.0741, 1
Sphere2, 3124.3573, 1
Sphere15, 2299.8105, 1
Sphere3, 2037.0944, 1
Sphere19, 2437.6242, 1
Sphere16, 2124.2666, 1
Sphere7, 1636.845, 1
Sphere9, 2136.4158, 1
Sphere18, 2898.9436, 1
Sphere13, 5374.6072, 1
Sphere1, 2549.0998, 1
Sphere6, 1700.3583, 1
Sphere5, 2925.0472, 1
Sphere20, 2299.4342, 1
Sphere8, 3349.7837, 1
Sphere17, 2609.0189, 1
Sphere15, 3662.034, 1
Sphere2, 2987.6744, 1
Sphere12, 2512.0418, 1
Sphere4, 2524.4184, 1
Sphere14, 2362.0966, 1
Sphere11, 1561.5772, 1
Sphere10, 1537.2845, 1
Sphere6, 1687.4412, 1
Sphere4, 2287.3103, 1
Sphere8, 2049.8195, 1
Sphere14, 4187.54, 2
Sphere17, 2036.6245, 1
Sphere1, 2449.4593, 1
Sphere9, 4137.2937, 2
Sphere11, 1911.3467, 1
Sphere12, 1548.9638, 1
Sphere16, 1811.7188, 1
Total, 136278.258, 57
