Name, finalTime, numberOfAttempts
Sphere19, 900.2191, 1
Sphere16, 2112.6595, 1
Sphere13, 788.2298, 1
Sphere15, 1162.278, 2
Sphere11, 761.1937, 1
Sphere12, 1361.828, 2
Sphere7, 961.5761, 1
Sphere18, 1224.3328, 2
Sphere10, 837.1986, 1
Sphere8, 611.3655, 1
Sphere3, 799.2662, 1
Sphere9, 848.8316, 1
Sphere1, 749.3987, 1
Sphere2, 798.9788, 1
Sphere4, 723.5173, 1
Sphere6, 599.3975, 1
Sphere17, 886.5968, 1
Sphere20, 1061.9993, 2
Sphere14, 686.4969, 1
Sphere5, 799.7901, 1
Sphere17, 750.2109, 1
Sphere2, 624.3587, 1
Sphere4, 699.1345, 1
Sphere11, 1249.5077, 2
Sphere18, 724.7576, 1
Sphere1, 986.2644, 1
Sphere13, 611.5306, 1
Sphere14, 911.2302, 1
Sphere7, 787.3202, 1
Sphere15, 612.3624, 1
Sphere12, 1849.704, 3
Sphere9, 824.5969, 1
Sphere6, 649.4314, 1
Sphere10, 2074.2644, 3
Sphere19, 936.1207, 1
Sphere8, 974.6372, 1
Sphere3, 862.323, 1
Sphere20, 800.044, 1
Sphere16, 599.4308, 1
Sphere5, 612.1462, 1
Sphere18, 1037.548, 2
Sphere13, 1873.22, 3
Sphere9, 961.9308, 1
Sphere1, 936.6169, 1
Sphere7, 1236.8621, 1
Sphere15, 824.9225, 1
Sphere16, 1163.1915, 2
Sphere10, 950.0317, 1
Sphere14, 1286.9774, 1
Sphere2, 574.8518, 1
Total, 47689.4669, 63
