Name, finalTime, numberOfAttempts
Sphere18, 7537.2894, 3
Sphere3, 711.1397, 1
Sphere15, 924.286, 1
Sphere8, 1162.3966, 1
Sphere7, 911.8607, 1
Sphere4, 612.363, 1
Sphere2, 912.7569, 1
Sphere9, 1225.1086, 1
Sphere12, 699.3527, 1
Sphere10, 674.3885, 1
Sphere11, 848.9125, 1
Sphere1, 2087.9678, 2
Sphere20, 736.9978, 1
Sphere5, 599.1076, 1
Sphere6, 537.1913, 1
Sphere16, 1687.4744, 1
Sphere17, 874.9565, 1
Sphere13, 674.1172, 1
Sphere19, 1962.0264, 2
Sphere14, 786.0876, 1
Sphere12, 599.4663, 1
Sphere2, 1723.7385, 1
Sphere18, 1774.6509, 1
Sphere11, 1186.9657, 1
Sphere16, 824.6678, 1
Sphere15, 748.5497, 1
Sphere7, 599.5789, 1
Sphere10, 874.1075, 1
Sphere8, 1099.8842, 1
Sphere6, 699.2072, 1
Sphere14, 774.3475, 1
Sphere20, 524.2565, 1
Sphere4, 924.6115, 1
Sphere3, 623.7415, 1
Sphere13, 1036.6028, 1
Sphere9, 686.8574, 1
Sphere5, 586.7122, 1
Sphere17, 548.6169, 1
Sphere19, 4437.0997, 5
Sphere1, 850.206, 1
Sphere2, 1224.2546, 1
Sphere10, 674.2764, 1
Sphere14, 1111.6864, 1
Sphere7, 599.452, 1
Sphere15, 774.7594, 1
Sphere4, 1387.8824, 1
Sphere18, 1574.3405, 1
Sphere1, 1049.7135, 1
Sphere12, 711.3439, 1
Sphere16, 1650.2494, 1
Total, 58076.5822, 58
Name, finalTime, numberOfAttempts
