Name, finalTime, numberOfAttempts
Sphere12, 3649.549, 1
Sphere11, 6861.9079, 1
Sphere4, 5745.8175, 1
Sphere15, 7697.851, 1
Sphere8, 4349.6372, 2
Sphere1, 3561.8687, 1
Sphere3, 1761.0484, 1
Sphere14, 5637.4016, 2
Sphere16, 2861.8657, 1
Sphere9, 9436.9675, 3
Sphere17, 5037.1914, 1
Sphere7, 3712.8303, 1
Sphere19, 2362.26, 1
Sphere6, 2236.2497, 1
Sphere13, 5711.934, 2
Sphere20, 3513.0127, 2
Sphere2, 5161.7202, 2
Sphere10, 1999.272, 1
Sphere5, 2174.0248, 1
Sphere18, 1998.9025, 1
Sphere10, 2299.8357, 1
Sphere17, 2300.0081, 1
Sphere9, 1661.8582, 1
Sphere4, 1648.876, 1
Sphere7, 1759.8951, 1
Sphere18, 1886.2687, 1
Sphere3, 1274.68, 1
Sphere11, 1299.4853, 1
Sphere20, 1424.7142, 1
Sphere15, 2112.6276, 1
Sphere12, 2249.4826, 1
Sphere5, 1961.2915, 1
Sphere13, 2137.123, 1
Sphere14, 1650.0607, 1
Sphere6, 1624.9195, 1
Sphere1, 1199.1041, 1
Sphere19, 1362.7913, 1
Sphere8, 1511.8541, 1
Sphere16, 3412.283, 2
Sphere2, 4349.7945, 2
Sphere1, 1511.1812, 1
Sphere12, 1837.2071, 1
Sphere5, 4575.0962, 2
Sphere14, 2221.7671, 1
Sphere9, 1949.9649, 1
Sphere10, 1736.7005, 1
Sphere8, 2024.0233, 1
Sphere17, 3762.9449, 1
Sphere7, 1837.6749, 1
Sphere3, 2274.3539, 1
Total, 148366.0479, 60
