Name, finalTime, numberOfAttempts
Sphere12, 359.463, 1
Sphere11, 774.1459, 1
Sphere4, 649.5657, 1
Sphere15, 687.2309, 1
Sphere8, 1000.515, 2
Sphere1, 1411.4628, 2
Sphere3, 774.9662, 1
Sphere14, 1249.0716, 2
Sphere16, 524.6337, 1
Sphere9, 676.2221, 1
Sphere17, 1260.4658, 1
Sphere7, 699.643, 1
Sphere19, 1587.5748, 3
Sphere6, 1312.5778, 2
Sphere13, 650.1025, 1
Sphere20, 700.1439, 1
Sphere2, 624.4514, 1
Sphere10, 649.3891, 1
Sphere5, 748.8819, 1
Sphere18, 649.241, 1
Sphere10, 648.8604, 1
Sphere17, 661.9341, 1
Sphere9, 699.7055, 1
Sphere4, 561.6309, 1
Sphere7, 599.0811, 1
Sphere18, 586.5936, 1
Sphere3, 561.5879, 1
Sphere11, 936.8738, 2
Sphere20, 562.6684, 1
Sphere15, 2174.2857, 4
Sphere12, 1636.9666, 2
Sphere5, 1262.5614, 1
Sphere13, 862.0019, 1
Sphere14, 836.7991, 1
Sphere6, 611.5947, 1
Sphere1, 599.4235, 1
Sphere19, 712.4139, 1
Sphere8, 1000.0584, 2
Sphere16, 712.3872, 1
Sphere2, 636.4015, 1
Sphere1, 536.1893, 1
Sphere12, 561.6175, 1
Sphere5, 949.0379, 1
Sphere14, 549.0519, 1
Sphere9, 624.4153, 1
Sphere10, 687.3649, 1
Sphere8, 987.5066, 2
Sphere17, 700.4146, 1
Sphere7, 636.3973, 1
Sphere3, 574.0877, 1
Total, 40686.4684, 63
Name, finalTime, numberOfAttempts
