Name, finalTime, numberOfAttempts
Sphere18, 10249.2402, 4
Sphere3, 1674.3167, 1
Sphere15, 1161.4963, 1
Sphere8, 2399.3891, 1
Sphere7, 1036.2351, 1
Sphere4, 1349.7226, 1
Sphere2, 848.477, 1
Sphere9, 774.4894, 1
Sphere12, 661.3259, 1
Sphere10, 699.5239, 1
Sphere11, 1924.4682, 1
Sphere1, 1149.2234, 1
Sphere20, 674.3709, 1
Sphere5, 1437.4513, 2
Sphere6, 587.4494, 1
Sphere16, 1137.7724, 1
Sphere17, 874.7965, 1
Sphere13, 1024.0243, 1
Sphere19, 3937.4252, 1
Sphere14, 787.3781, 1
Sphere12, 836.7036, 1
Sphere2, 1249.4905, 1
Sphere18, 1487.3606, 1
Sphere11, 1437.0335, 1
Sphere16, 898.7287, 1
Sphere15, 974.3185, 1
Sphere7, 774.9679, 1
Sphere10, 1323.7453, 1
Sphere8, 1212.3911, 1
Sphere6, 849.723, 1
Sphere14, 674.9604, 1
Sphere20, 898.5969, 1
Sphere4, 1375.0144, 1
Sphere3, 761.3748, 1
Sphere13, 849.4869, 1
Sphere9, 661.4798, 1
Sphere5, 673.6498, 1
Sphere17, 786.9774, 1
Sphere19, 3224.4132, 1
Sphere1, 1774.8665, 1
Sphere2, 1311.9301, 1
Sphere10, 649.2638, 1
Sphere14, 1612.3228, 1
Sphere7, 874.9626, 1
Sphere15, 1475.0182, 1
Sphere4, 1175.0748, 1
Sphere18, 3149.1905, 2
Sphere1, 1312.3676, 1
Sphere12, 1049.5459, 1
Sphere16, 1712.1135, 1
Total, 71463.562, 55
Name, finalTime, numberOfAttempts
