Name, finalTime, numberOfAttempts
Sphere19, 2148.734, 1
Sphere16, 5697.2286, 2
Sphere13, 2209.6823, 1
Sphere15, 1824.8513, 1
Sphere11, 1449.6461, 1
Sphere12, 1612.2175, 1
Sphere7, 1824.6388, 1
Sphere18, 1937.0976, 1
Sphere10, 1525.1867, 1
Sphere8, 2286.7232, 1
Sphere3, 1449.8469, 1
Sphere9, 1462.3232, 1
Sphere1, 1999.0651, 1
Sphere2, 2062.7027, 1
Sphere4, 2250.1497, 1
Sphere6, 2299.8455, 1
Sphere17, 2287.4462, 1
Sphere20, 1850.1619, 1
Sphere14, 2049.2416, 1
Sphere5, 2249.7252, 1
Sphere17, 1649.3185, 1
Sphere2, 2149.3777, 1
Sphere4, 1499.2402, 1
Sphere11, 1423.9908, 1
Sphere18, 1411.1661, 1
Sphere1, 1349.4884, 1
Sphere13, 1761.2524, 1
Sphere14, 1324.2909, 1
Sphere7, 1374.8479, 1
Sphere15, 1286.511, 1
Sphere12, 1836.8272, 1
Sphere9, 1336.0031, 1
Sphere6, 1598.8589, 1
Sphere10, 1287.2939, 1
Sphere19, 1498.9592, 1
Sphere8, 1586.6398, 1
Sphere3, 2160.7213, 1
Sphere20, 1809.0366, 1
Sphere16, 1474.0386, 1
Sphere5, 1487.1377, 1
Sphere18, 1824.3425, 1
Sphere13, 1937.5109, 1
Sphere9, 2886.9401, 1
Sphere1, 1584.6244, 1
Sphere7, 1850.2116, 1
Sphere15, 1737.26, 1
Sphere16, 1612.0881, 1
Sphere10, 1437.6875, 1
Sphere14, 2074.4668, 1
Sphere2, 1862.5518, 1
Total, 92626.153, 51
